number,throttle,steer
724,22,90
725,20,90
726,20,90
727,18,90
728,18,90
729,18,90
730,16,90
731,14,80
732,14,80
733,18,80
734,22,90
735,22,90
736,20,90
737,20,90
738,20,90
739,18,90
740,18,90
741,16,80
742,16,80
743,14,80
744,14,80
745,20,90
746,18,90
747,20,90
748,20,90
749,20,90
750,20,90
751,18,80
752,18,90
753,16,80
754,16,80
755,14,80
756,18,90
757,22,90
758,20,90
759,18,90
760,20,90
761,18,90
762,18,90
763,18,90
764,16,100
765,16,100
766,22,100
767,18,90
768,24,100
769,22,90
770,20,90
771,18,90
772,18,90
773,18,90
774,16,90
775,16,90
776,16,80
777,14,80
778,22,90
779,22,90
780,22,90
781,18,90
782,18,90
783,16,90
784,16,80
785,16,80
786,20,90
787,22,90
788,16,80
789,20,80
790,22,80
791,20,80
792,20,80
793,20,80
794,18,80
795,18,80
796,16,70
797,14,70
798,14,70
799,16,70
800,22,80
801,22,80
802,22,90
803,20,90
804,20,90
805,18,90
806,16,90
807,14,90
808,16,90
809,16,90
810,16,80
811,24,90
812,24,90
813,24,90
814,24,90
815,24,90
816,20,90
817,22,90
818,22,90
819,20,90
820,25,100
821,25,100
822,24,90
823,25,90
824,24,90
825,25,90
826,22,90
827,22,90
828,22,90
829,20,90
830,20,90
831,18,80
832,18,80
833,22,90
834,25,90
835,25,90
836,24,90
837,22,90
838,24,90
839,24,90
840,22,90
841,24,80
842,22,80
843,27,90
844,27,90
845,29,90
846,27,90
847,27,90
848,27,90
849,25,90
850,25,90
851,24,80
852,24,80
853,24,80
854,24,80
855,31,80
856,27,80
857,25,80
858,25,80
859,25,80
860,25,80
861,24,80
862,24,80
863,24,80
864,24,80
865,24,80
866,31,90
867,31,90
868,29,90
869,29,90
870,29,90
871,25,90
872,25,80
873,25,90
874,25,80
875,25,80
876,31,90
877,27,80
878,29,90
879,31,90
880,29,90
881,27,90
882,27,90
883,27,90
884,25,90
885,25,90
886,24,90
887,24,90
888,24,90
889,31,90
890,29,90
891,27,90
892,27,90
893,25,90
894,31,90
895,24,90
896,27,90
897,27,90
898,24,90
899,24,90
900,27,90
901,27,90
902,25,90
903,25,80
904,24,80
905,24,80
906,22,80
907,20,70
908,20,80
909,20,80
910,25,70
911,24,70
912,25,80
913,24,90
914,24,90
915,24,90
916,22,90
917,22,80
918,22,90
919,22,80
920,24,80
921,25,90
922,27,90
923,27,90
924,27,80
925,25,80
926,24,80
927,24,80
928,22,80
929,22,80
930,22,80
931,27,70
932,24,70
933,25,80
934,24,80
935,27,80
936,25,80
937,25,90
938,25,90
939,24,90
940,24,90
941,22,90
942,22,90
943,24,90
944,25,90
945,29,90
946,27,90
947,27,90
948,25,90
949,25,90
950,25,90
951,24,90
952,25,90
953,22,90
954,22,80
955,27,90
956,27,90
957,29,90
958,27,90
959,25,90
960,25,90
961,24,90
962,22,90
963,24,90
964,29,90
965,29,90
966,29,90
967,27,90
968,29,90
969,27,90
970,25,90
971,25,90
972,25,90
973,24,90
974,24,90
975,24,90
976,27,90
977,27,90
978,31,90
979,29,90
980,27,90
981,24,80
982,24,80
983,25,80
984,25,80
985,20,80
986,20,70
987,22,80
988,22,80
989,22,80
990,22,90
991,18,90
992,16,90
993,16,100
994,14,90
995,14,90
996,11,90
997,12,90
998,20,80
999,20,80
1000,22,80
1001,22,80
1002,25,80
1003,25,80
1004,25,80
1005,25,80
1006,24,80
1007,27,80
1008,22,80
1009,22,70
1010,22,80
1011,29,80
1012,29,60
1013,27,70
1014,25,70
1015,25,80
1016,24,90
1017,24,90
1018,20,90
1019,24,100
1020,20,90
1021,25,90
1022,22,90
1023,27,90
1024,27,100
1025,25,100
1026,22,90
1027,22,90
1028,24,90
1029,24,90
1030,22,80
1031,20,80
1032,22,80
1033,22,80
1034,25,80
1035,24,80
1036,22,80
1037,22,80
1038,24,80
1039,24,80
1040,22,80
1041,20,80
1042,20,80
1043,18,80
1044,22,80
1045,25,90
1046,25,90
1047,25,90
1048,25,90
1049,25,90
1050,24,90
1051,22,80
1052,22,80
1053,22,80
1054,22,70
1055,22,70
1056,25,80
1057,25,80
1058,27,80
